CamID,Source.sheet,Year,Locality/Population,Lat,Lon,sex.by.median.norm.depth.chr1.highest.depth.sample,sex.depth.genital.consensous
CAM047216,Mastersheet,2014,BA52,-11.63666667,-45.82805556,female,0
CAM047217,Mastersheet,2014,BA52,-11.63666667,-45.82805556,female,0
CAM047218,Mastersheet,2014,BA52,-11.63666667,-45.82805556,male,0
CAM047219,Mastersheet,2014,BA52,-11.63666667,-45.82805556,male,0
CAM047220,Mastersheet,2019,BA83,-10.30888889,-46.00472222,male,0
CAM047221,Mastersheet,2019,BA83,-10.30888889,-46.00472222,male,0
CAM047222,Mastersheet,2019,BA83,-10.30888889,-46.00472222,female,0
CAM047223,Mastersheet,2019,BA83,-10.30888889,-46.00472222,male,0
CAM047224,Mastersheet,2020,BA85,-10.30888889,-46.00472222,male,0
CAM047225,Mastersheet,2020,BA85,-10.30888889,-46.00472222,male,0
CAM047226,Mastersheet,2020,BA85,-10.30888889,-46.00472222,female,0
CAM047227,Mastersheet,2020,BA85,-10.30888889,-46.00472222,female,0
CAM047228,Mastersheet,2020,BA85,-10.30888889,-46.00472222,male,0
CAM047229,Mastersheet,2020,BA85,-10.30888889,-46.00472222,cant.be.det,0
CAM047230,Mastersheet,2020,BA85,-10.30888889,-46.00472222,male,0
CAM047231,Mastersheet,2020,BA85,-10.30888889,-46.00472222,male,0
CAM047232,Mastersheet,2020,BA85,-10.30888889,-46.00472222,male,0
CAM047233,Mastersheet,2020,BA85,-10.30888889,-46.00472222,female,0
CAM047234,Mastersheet,2020,BA85,-10.30888889,-46.00472222,cant.be.det,0
CAM047235,Mastersheet,2019,BA81,-10.77388889,-45.38777778,male,0
CAM047236,batch2 - all,2018,MT32,-12.455,-45.72861111,,
CAM047237,Mastersheet,2019,BA81,-10.77388889,-45.38777778,male,0
CAM047238,batch2 - all,2018,MT33,-14.23388889,-52.61638889,,
CAM047239,batch2 - all,2014,MT12,-10.3175,-55.79694444,,
CAM047240,batch2 - all,2014,MT12,-10.3175,-55.79694444,,
